Country;Sector;2017-Q1;;2017-Q2;;2017-Q3;;2017-Q4;;2018-Q1;;2018-Q2;;2018-Q3;;2018-Q4;;2019-Q1;;2019-Q2;;2019-Q3;;2019-Q4;;2020-Q1;;2020-Q2;;2020-Q3;
European Union - 27 countries (from 2020);Total - all NACE activities;102.3;;102.6;;102.9;;103.2;;103.3;;104.2;;104.4;;104.4;;104.8;;104.7;;104.9;;104.8;;101.5;;90.1;;NA;
Euro area - 19 countries  (from 2015);Total - all NACE activities;102.3;;102.7;;103.1;;103.5;;103.6;;104.6;;104.9;;105;;105.4;;105.4;;105.6;;105.6;;101.2;;87.7;;NA;
Belgium;Total - all NACE activities;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;;NA;
Bulgaria;Total - all NACE activities;100.6;;100.8;;101.8;;102.5;;102.4;;102.4;;102.1;;101.8;;102.1;;102.3;;102.4;;102.7;;102.3;p;92;p;NA;
Czechia;Total - all NACE activities;103.9;;104.7;;105.2;;105.3;;106.1;;106.4;;107;;107.2;;107.8;;106.7;;106.7;;106.2;;103.4;;95.4;;NA;
Denmark;Total - all NACE activities;102.5;;102.8;;103.1;;103.5;;102.6;;102.6;;102.9;;103.6;;103.8;;104.1;;104.6;;104.3;;104.3;;98.3;;NA;
Germany (until 1990 former territory of the FRG);Total - all NACE activities;101.4;;102;;102.5;;102.8;;102.4;;103.7;;103.5;;104.1;;104.2;;103.8;;104.2;;103.8;;101.9;p;93.7;p;NA;
Estonia;Total - all NACE activities;102.7;;101.4;;103.8;;103.9;;100.9;;103.2;;100.3;;101.9;;102.2;;103.2;;100.9;;102.8;;98.8;;91.6;;NA;
Ireland;Total - all NACE activities;105.7;;105.8;;107.8;;109.3;;109.3;;110.9;;111.1;;112.5;;112.5;;112.9;;113.5;;115.1;;116.7;;101.2;;NA;
Greece;Total - all NACE activities;101.5;p;102.7;p;102.9;p;102.8;p;103.5;p;104.1;p;105;p;104.4;p;105;p;107.2;p;106.1;p;106.1;p;96.1;p;77.8;p;NA;
Spain;Total - all NACE activities;103.9;;104.3;;105.1;;105.5;;106.3;p;107.5;p;108.1;p;108;p;109.2;p;109;p;108.9;p;109.5;p;104.6;p;81.9;p;102.1;p
